window,start_year,end_year,country,series,survey,common_quarters,n_common_quarters,workers_0,workers_1,mean_income_0_usd_2017_ppp,mean_income_1_usd_2017_ppp,change_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,residual_usd_2017_ppp,percent_change,education_contribution_percent_initial,within_income_contribution_percent_initial,income_reconstruction_error_0,income_reconstruction_error_1,worker_reconstruction_error_0,worker_reconstruction_error_1,max_abs_period_income_error,max_abs_period_worker_error,midpoint_workers
2016-2023,2016,2023,Mexico,1,ENOE,"Q1,Q2,Q3,Q4",4,50792943.0,58763174.0,640.2002740877803,691.711799394124,51.51152530634374,32.027087205176116,19.48443810116771,-8.526512829121202e-14,8.046157958889095,5.002666899949618,3.0434910589394915,0.04187708973010807,0.035200201156038974,-0.0009246271696839362,-0.001621580717372603,0.0441426804102674,0.0016733800420476806,54778058.5
2016-2023,2016,2023,Peru (Lima and Callao),1,EPE,"Q1,Q2,Q3,Q4",4,4767503.0,5181049.75,925.9744889305784,823.9272754860153,-102.04721344456311,13.39980486942051,-115.44701831398382,1.9895196601282805e-13,-11.020521047228735,1.4471030281726383,-12.467624075401396,-0.0056441193100474395,-0.0051875578085702,0.0,-0.0006891051373557091,0.007427144581665418,0.0011094942791347077,4974276.375
2019-2023,2019,2023,Argentina,1,EPHC-S2,"Q1,Q2,Q3,Q4",4,12040748.25,13293497.5,1105.8006733634681,967.5791836309443,-138.22148973252388,7.079437604369091,-145.3009273368929,-8.526512829121202e-14,-12.499674947031936,0.6402091963677196,-13.139884143399648,-0.0006642536706283915,-0.0005765969934022142,0.0,0.0,0.0008767803663463849,0.0,12667122.875
2019-2023,2019,2023,Bolivia,1,ECE,"Q1,Q2,Q3,Q4",4,5621927.25,6580995.75,1021.7032888410286,934.1456516781675,-87.55763716286106,27.531797144281494,-115.08943430714262,7.105427357601002e-14,-8.569771490329865,2.6946959498889598,-11.264467440218832,-0.015130488588985812,-0.0153819719508573,-9.516218994524305e-06,0.0,0.016476240409861797,1.3003727438310229e-05,6101461.5
2019-2023,2019,2023,Brazil,2,PNADC,"Q1,Q2,Q3,Q4",4,94129113.5,99281778.5,916.8040241877451,928.6892349500971,11.885210762352017,42.85718646147082,-30.971975699118893,9.237055564881302e-14,1.2963741921706637,4.674628964400623,-3.3782547722299685,-0.005754733543409144,-0.0035844059525833465,0.0,0.0,0.0061684038306391445,0.0,96705446.0
2019-2023,2019,2023,Chile,2,NENE,Q4,1,8572754.0,9283492.0,1197.6226282709151,1277.7985366066994,80.17590833578424,135.0229468354209,-54.84703849963665,0.0,6.694588632776534,11.274248135271309,-4.579659502494776,-0.009901927686081995,-0.010149092410954155,-0.003816585436596039,-0.000821751763806479,0.010149092410954155,0.003816585436596039,8928123.0
2019-2023,2019,2023,Costa Rica,1,ECE,"Q1,Q2,Q3,Q4",4,2171303.5,2091924.75,1254.3909707233465,1185.182916331001,-69.2080543923455,34.60914349234689,-103.8171978846925,1.1368683772161603e-13,-5.517263437605627,2.7590395897372786,-8.276303027342914,-0.006558546552080977,-0.0017730924007716019,-0.0010621719674242726,-0.0009645671124521209,0.01013725030367482,0.0018957373349533912,2131614.125
2019-2023,2019,2023,Dominican Republic,1,ECFNT,"Q1,Q2,Q3,Q4",4,4659592.0,4838086.75,849.1629687910442,803.4709134659482,-45.69205532509602,10.475704712083761,-56.167760037179875,9.237055564881302e-14,-5.380834657703919,1.233650676853944,-6.614485334557874,-0.0009177581997070393,-0.0012509088764869375,-0.0008898969491720946,-0.0002496231501501329,0.001814907926875729,0.0012777279330040351,4748839.375
2019-2023,2019,2023,El Salvador,1,EHPM,"Q1,Q2,Q3,Q4",4,2741655.0,2951568.25,708.6579484836712,725.0604658811463,16.402517397475094,8.05120103653858,8.351316360936515,-1.7763568394002505e-15,2.3145887846981563,1.1361194852560235,1.1784692994421335,-0.005033503407721946,-0.0024813901362477167,0.0,-7.284210144719469e-06,0.006923528881388229,2.8299443652681586e-05,2846611.625
2019-2023,2019,2023,Mexico,1,ENOE,"Q1,Q2,Q3,Q4",4,54497483.0,58763174.0,636.9981070786334,691.711799394124,54.71369231549056,19.7707780442476,34.94291427124302,-5.684341886080802e-14,8.589302182767161,3.103742040132471,5.4855601426347,0.03908231703112205,0.035200201156038974,-0.0012426398262573085,-0.001621580717372603,0.040277590843500126,0.0016733800420476806,56630328.5
2019-2023,2019,2023,Peru (Lima and Callao),1,EPE,"Q1,Q2,Q3,Q4",4,4906159.5,5181049.75,901.3270488505317,823.9272754860153,-77.39977336451636,10.142569891285051,-87.54234325580153,1.1368683772161603e-13,-8.587312836469826,1.125292967100004,-9.712605803569843,-0.007205374152269346,-0.0051875578085702,0.0,-0.0006891051373557091,0.00791873261765509,0.0011094942791347077,5043604.625
