window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2016-2019,2016,2019,Mexico,1,ENOE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.21613617663382884,0.23530061470912336,646.9606204960426,629.5979851798968,12.232264173980433,-3.9190661881893356
2016-2019,2016,2019,Mexico,1,ENOE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.16502544457799975,0.1770488510451024,1198.4358290102464,1098.496760133932,13.808477073407474,-17.093293295546975
2016-2019,2016,2019,Peru (Lima and Callao),1,EPE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.17076119301865147,0.16402773900848516,587.3769750075082,558.2877264727857,-3.8571402892442377,-4.869379225205851
2016-2019,2016,2019,Peru (Lima and Callao),1,EPE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.5133440922847873,0.5165377827606298,723.9595704490066,694.5339137230468,2.2651145652224676,-15.152475261687139
2016-2019,2016,2019,Peru (Lima and Callao),1,EPE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.3158947146965613,0.31943447823088505,1437.2919401950426,1411.868155285569,5.042676504716366,-8.076236373848433
2016-2019,2016,2019,Uruguay,1,ECH,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.6462824152126319,0.6158672436603291,853.3093792141954,845.6625236951315,-25.83726094476474,-4.82573804241861
2016-2019,2016,2019,Uruguay,1,ECH,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.22047801210001758,0.2331968699319519,1268.1471997385838,1223.9270697010363,15.848169169812065,-10.030781139111358
2016-2019,2016,2019,Uruguay,1,ECH,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.13323957268735054,0.15093588640771904,2222.4203412027077,2196.6507245933626,39.10063396646523,-3.66154631533229
2016-2019,2016,2019,Argentina,1,EPHC-S2,Educational attainment - low,Low,"Q2,Q3,Q4",0.3666416162133481,0.3276542863016269,865.074150108325,718.5916415887482,-30.871450345400476,-50.851102727628536
2016-2019,2016,2019,Argentina,1,EPHC-S2,Educational attainment - middle,Middle,"Q2,Q3,Q4",0.40743488537110384,0.4249026678393352,1194.8371716545412,1019.7280381783157,19.34177167353677,-72.87495385120084
